Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Swap_net,Managed_net,other_net,Prod_net,Swap_ratio,Managed_ratio,other_ratio,Prod_ratio,spot_price
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170131,584432,210530,210329,21164,54239,47154,17209,39859,39574,-33075,29945,285,201,-0.056593410353985,0.051237783009828,0.0004876529690366,0.0003439236728995,52.81
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170124,547258,203164,199623,23777,57320,44430,22326,40382,37723,-33543,22104,2659,3541,-0.061292845422086,0.040390455690004,0.0048587686246706,0.0064704399022033,53.18
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170117,556512,190576,182950,26840,59692,46977,27268,42002,38700,-32852,19709,3302,7626,-0.059031970559485,0.03541522914151,0.005933385084239,0.01370320855615,52.48
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170110,538417,192720,182510,32082,62407,46850,28690,41633,43473,-30325,18160,-1840,10210,-0.056322515819523,0.03372850411484,-0.0034174255270543,0.018962997082187,50.82
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",170103,529917,198752,164421,32080,63110,46871,21910,27780,61860,-31030,24961,-34080,34331,-0.058556339955125,0.047103603017076,-0.064311958287807,0.064785617370267,52.33
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170829,2247058,393167,533436,182456,423367,315519,176960,347794,120488,-240911,138559,227306,-140269,-0.10721174086294,0.06166240479774,0.10115715749215,-0.062423399841037,46.44
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170822,2236977,370437,552989,176697,450011,347101,94806,329728,136575,-273314,252295,193153,-182552,-0.12218006711736,0.11278390434949,0.08634554579685,-0.081606560997274,47.83
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170815,2311603,384448,575538,185558,467967,363317,94020,336034,141858,-282409,269297,194176,-191090,-0.12217019964068,0.11649794536519,0.084000583145116,-0.082665578821277,47.55
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170808,2215548,356254,544770,187105,475331,373065,87801,334471,139106,-288226,285264,195365,-188516,-0.13009241957295,0.12875550428156,0.088179087070106,-0.085087752556027,49.17
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170801,2219691,374721,585356,190549,465049,374771,84892,343141,146255,-274500,289879,196886,-210635,-0.12366586159966,0.13059430344133,0.088699733431365,-0.094893838827116,49.16
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170725,2149971,392149,602784,197539,408970,327029,90169,332021,145543,-211431,236860,186478,-210635,-0.098341326464403,0.11016892785996,0.08673512340399,-0.097971088912362,47.89
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170718,2140060,424530,637722,193643,378771,328364,119023,323651,136533,-185128,209341,187118,-213192,-0.086505985813482,0.097820154575105,0.087435866284123,-0.099619636832612,46.59
